strategy,key,run,window,months,gross_pct,cost_pct,net_pct,net_t,net_sharpe,breakeven_oneway_pct
Weekend / Monday,monday,1x,IS,300,0.9343288008104726,7.733333333333333,-6.7990045325228605,-50.78184380592621,-10.15636876118524,0.11450107853069517
Weekend / Monday,monday,1x,OOS,27,0.6170797500286663,4.0,-3.382920249971334,-8.682875129604989,-5.788583419736659,0.07713496875358329
Weekend / Monday,monday,1x,POST,556,0.22528363200638074,0.4317985611510792,-0.20651492914469843,-1.733442743815548,-0.25466116913778014,0.028377367330210172
Weekend / Monday,monday,0.5x,IS,300,0.9343288008104726,3.8666666666666667,-2.9323378658561943,-27.77368962193652,-5.554737924387303,0.11450107853069517
Weekend / Monday,monday,0.5x,OOS,27,0.6170797500286663,2.0,-1.3829202499713336,-3.7771276534294116,-2.5180851022862742,0.07713496875358329
Weekend / Monday,monday,0.5x,POST,556,0.22528363200638074,0.2158992805755396,0.009384351430841138,0.08039839574182873,0.011811379135228398,0.028377367330210172
Weekend / Monday,monday,2x,IS,300,0.9343288008104726,15.466666666666667,-14.532337865856192,-66.52886458821662,-13.30577291764332,0.11450107853069517
Weekend / Monday,monday,2x,OOS,27,0.6170797500286663,8.0,-7.382920249971334,-15.841722213289652,-10.5611481421931,0.07713496875358329
Weekend / Monday,monday,2x,POST,556,0.22528363200638074,0.8635971223021583,-0.6383134902957777,-4.877507557096591,-0.7165577181017905,0.028377367330210172
Weekend / Monday,monday,era,IS,300,0.9343288008104726,7.733333333333333,-6.7990045325228605,-50.78184380592621,-10.15636876118524,0.11450107853069517
Weekend / Monday,monday,era,OOS,27,0.6170797500286663,4.0,-3.382920249971334,-8.682875129604989,-5.788583419736659,0.07713496875358329
Weekend / Monday,monday,era,POST,556,0.22528363200638074,0.4317985611510792,-0.20651492914469843,-1.733442743815548,-0.25466116913778014,0.028377367330210172
Turn-of-the-month,tom,1x,IS,725,0.5982816483091785,1.7373793103448276,-1.139097662035649,-13.616569680399856,-1.7518194043018742,0.29914082415458926
Turn-of-the-month,tom,1x,OOS,24,1.3427920751633986,0.10000000000000006,1.2427920751633987,1.9622741430471027,1.3875373530956279,0.6713960375816993
Turn-of-the-month,tom,1x,POST,451,0.2111188504944691,0.05915742793791574,0.15196142255655345,1.3561292721620648,0.2212093310551086,0.10555942524723455
Turn-of-the-month,tom,0.5x,IS,725,0.5982816483091785,0.8686896551724138,-0.2704080068632353,-3.2952936320877253,-0.4239510730718898,0.29914082415458926
Turn-of-the-month,tom,0.5x,OOS,24,1.3427920751633986,0.050000000000000044,1.2927920751633986,2.041220339368362,1.4433607438632747,0.6713960375816993
Turn-of-the-month,tom,0.5x,POST,451,0.2111188504944691,0.02957871396895787,0.18154013652551132,1.619354895559164,0.26414621418528683,0.10555942524723455
Turn-of-the-month,tom,2x,IS,725,0.5982816483091785,3.4747586206896552,-2.876476972380477,-31.761191093987776,-4.086188531189139,0.29914082415458926
Turn-of-the-month,tom,2x,OOS,24,1.3427920751633986,0.20000000000000004,1.1427920751633986,1.8043817504045836,1.2758905715603335,0.6713960375816993
Turn-of-the-month,tom,2x,POST,451,0.2111188504944691,0.1183148558758315,0.09280399461863766,0.8288701320879212,0.13520378271785935,0.10555942524723455
Turn-of-the-month,tom,era,IS,725,0.5982816483091785,1.7373793103448276,-1.139097662035649,-13.616569680399856,-1.7518194043018742,0.29914082415458926
Turn-of-the-month,tom,era,OOS,24,1.3427920751633986,0.10000000000000006,1.2427920751633987,1.9622741430471027,1.3875373530956279,0.6713960375816993
Turn-of-the-month,tom,era,POST,451,0.2111188504944691,0.05915742793791574,0.15196142255655345,1.3561292721620648,0.2212093310551086,0.10555942524723455
Halloween / Sell in May,halloween,1x,IS,344,0.5157848837209302,0.10843023255813952,0.4073546511627907,1.634021542738007,0.3051892132568285,1.55640350877193
Halloween / Sell in May,halloween,1x,OOS,52,0.7851923076923077,0.01269230769230769,0.7725000000000001,1.0168066227060217,0.4884581018121032,2.2683333333333335
Halloween / Sell in May,halloween,1x,POST,283,0.15265017667844524,0.006643109540636027,0.14600706713780923,0.557468092109229,0.11479353235002053,0.45957446808510644
Halloween / Sell in May,halloween,0.5x,IS,344,0.5157848837209302,0.054215116279069775,0.4615697674418605,1.8540247880296765,0.3462796246060007,1.55640350877193
Halloween / Sell in May,halloween,0.5x,OOS,52,0.7851923076923077,0.006346153846153859,0.778846153846154,1.0249670981609935,0.49237826741843227,2.2683333333333335
Halloween / Sell in May,halloween,0.5x,POST,283,0.15265017667844524,0.003321554770318022,0.14932862190812718,0.5701098492066887,0.11739671623241572,0.45957446808510644
Halloween / Sell in May,halloween,2x,IS,344,0.5157848837209302,0.21686046511627904,0.2989244186046511,1.1897479442646604,0.2222114149582412,1.55640350877193
Halloween / Sell in May,halloween,2x,OOS,52,0.7851923076923077,0.02538461538461539,0.7598076923076924,1.0004530123482447,0.4806020815081874,2.2683333333333335
Halloween / Sell in May,halloween,2x,POST,283,0.15265017667844524,0.013286219081272083,0.13936395759717313,0.532174658358399,0.10958512195556502,0.45957446808510644
Halloween / Sell in May,halloween,era,IS,344,0.5157848837209302,0.10843023255813952,0.4073546511627907,1.634021542738007,0.3051892132568285,1.55640350877193
Halloween / Sell in May,halloween,era,OOS,52,0.7851923076923077,0.01269230769230769,0.7725000000000001,1.0168066227060217,0.4884581018121032,2.2683333333333335
Halloween / Sell in May,halloween,era,POST,283,0.15265017667844524,0.006643109540636027,0.14600706713780923,0.557468092109229,0.11479353235002053,0.45957446808510644
